Name,Team,Deviation,Over Percentage,Under Percentage,Over w/ Push,Under w/ Push,Games,Insight,Line,Type,Opponent,Rank,StatPerGame,Player Link
Brandon Aiyuk,SFO,0.27,60.0%,40.0%,60.0%,40.0%,15,N/A,33.5,Receiving Yards,HOU,19,256.79,https://www.pro-football-reference.com/players/A/AiyuBr00.htm,https://www.pro-football-reference.com/teams/sfo/2021.htm
George Kittle,SFO,0.48,58.33%,41.67%,58.33%,41.67%,12,N/A,46.5,Receiving Yards,HOU,19,256.79,https://www.pro-football-reference.com/players/K/KittGe00.htm,https://www.pro-football-reference.com/teams/sfo/2021.htm
Kyle Juszczyk,SFO,0.69,60.0%,40.0%,60.0%,40.0%,15,N/A,8.5,Receiving Yards,HOU,19,256.79,https://www.pro-football-reference.com/players/J/JuszKy00.htm,https://www.pro-football-reference.com/teams/sfo/2021.htm
Keenan Allen,LAC,0.24,64.29%,35.71%,64.29%,35.71%,14,N/A,67.5,Receiving Yards,DEN,5,225.71,https://www.pro-football-reference.com/players/A/AlleKe00.htm,https://www.pro-football-reference.com/teams/sdg/2021.htm
Mike Williams,LAC,0.41,57.14%,42.86%,57.14%,42.86%,14,N/A,50.5,Receiving Yards,DEN,5,225.71,https://www.pro-football-reference.com/players/W/WillMi07.htm,https://www.pro-football-reference.com/teams/sdg/2021.htm
D.J. Moore,CAR,0.37,60.0%,40.0%,60.0%,40.0%,15,N/A,58.5,Receiving Yards,NOR,17,252.57,https://www.pro-football-reference.com/players/M/MoorD.00.htm,https://www.pro-football-reference.com/teams/car/2021.htm
Alvin Kamara,NOR,0.22,54.55%,45.45%,54.55%,45.45%,11,N/A,24.5,Receiving Yards,CAR,2,195.36,https://www.pro-football-reference.com/players/K/KamaAl00.htm,https://www.pro-football-reference.com/teams/nor/2021.htm
Robby Anderson,CAR,0.17,40.0%,60.0%,40.0%,60.0%,15,N/A,34.5,Receiving Yards,NOR,17,252.57,https://www.pro-football-reference.com/players/A/AndeRo04.htm,https://www.pro-football-reference.com/teams/car/2021.htm
Marquez Callaway,NOR,0.19,40.0%,60.0%,40.0%,60.0%,15,N/A,34.5,Receiving Yards,CAR,2,195.36,https://www.pro-football-reference.com/players/C/CallMa01.htm,https://www.pro-football-reference.com/teams/nor/2021.htm
Adam Trautman,NOR,0.13,45.45%,54.55%,45.45%,54.55%,11,N/A,19.5,Receiving Yards,CAR,2,195.36,https://www.pro-football-reference.com/players/T/TrauAd00.htm,https://www.pro-football-reference.com/teams/nor/2021.htm
Ezekiel Elliott,DAL,0.4,66.67%,33.33%,66.67%,33.33%,15,N/A,12.5,Receiving Yards,ARI,5,225.71,https://www.pro-football-reference.com/players/E/ElliEz00.htm,https://www.pro-football-reference.com/teams/dal/2021.htm
Christian Kirk,ARI,0.19,53.33%,46.67%,53.33%,46.67%,15,N/A,51.5,Receiving Yards,DAL,20,257.93,https://www.pro-football-reference.com/players/K/KirkCh01.htm,https://www.pro-football-reference.com/teams/crd/2021.htm
CeeDee Lamb,DAL,0.35,71.43%,28.57%,71.43%,28.57%,14,N/A,58.5,Receiving Yards,ARI,5,225.71,https://www.pro-football-reference.com/players/L/LambCe00.htm,https://www.pro-football-reference.com/teams/dal/2021.htm
Zach Ertz,ARI,0.24,40.0%,60.0%,40.0%,60.0%,15,N/A,48.5,Receiving Yards,DAL,20,257.93,https://www.pro-football-reference.com/players/E/ErtzZa00.htm,https://www.pro-football-reference.com/teams/crd/2021.htm
Amari Cooper,DAL,0.09,38.46%,61.54%,38.46%,61.54%,13,N/A,55.5,Receiving Yards,ARI,5,225.71,https://www.pro-football-reference.com/players/C/CoopAm00.htm,https://www.pro-football-reference.com/teams/dal/2021.htm
A.J. Green,ARI,0.42,64.29%,35.71%,64.29%,35.71%,14,N/A,39.5,Receiving Yards,DAL,20,257.93,https://www.pro-football-reference.com/players/G/GreeA.00.htm,https://www.pro-football-reference.com/teams/crd/2021.htm
Dalton Schultz,DAL,0.2,66.67%,33.33%,66.67%,33.33%,15,N/A,43.5,Receiving Yards,ARI,5,225.71,https://www.pro-football-reference.com/players/S/SchuDa00.htm,https://www.pro-football-reference.com/teams/dal/2021.htm
Michael Gallup,DAL,0.44,62.5%,37.5%,62.5%,37.5%,8,N/A,40.5,Receiving Yards,ARI,5,225.71,https://www.pro-football-reference.com/players/G/GallMi00.htm,https://www.pro-football-reference.com/teams/dal/2021.htm

Tyreek Hill,KAN,0.26,53.33%,40.0%,60.0%,46.67%,15,N/A,6.0,Receptions,CIN,N/A,None,https://www.pro-football-reference.com/players/H/HillTy00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Tee Higgins,CIN,0.01,46.15%,53.85%,46.15%,53.85%,13,N/A,5.5,Receptions,KAN,N/A,None,https://www.pro-football-reference.com/players/H/HiggTe00.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Dallas Goedert,PHI,0.22,35.71%,57.14%,42.86%,64.29%,14,N/A,4.0,Receptions,WAS,N/A,None,https://www.pro-football-reference.com/players/G/GoedDa00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
