"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Rashod Bateman","BAL","Receiving Yards","Over","35.50","-115.00","35.51","41 %","-23.0","Shop Odds @ OddsShopper"
"Nelson Agholor","NE","Receiving Yards","Under","30.50","-115.00","40.17","41 %","-23.0","Shop Odds @ OddsShopper"
"Jakobi Meyers","NE","Receiving Yards","Under","48.50","-114.00","59.17","41 %","-23.0","Shop Odds @ OddsShopper"
"T.Y. Hilton","IND","Receiving Yards","Under","30.50","-115.00","39.09","41 %","-24.0","Shop Odds @ OddsShopper"
"Jauan Jennings","SF","Receiving Yards","Under","19.50","-114.00","25.51","40 %","-25.0","Shop Odds @ OddsShopper"
"Jalen Guyton","LAC","Receiving Yards","Over","20.50","-112.00","21.19","40 %","-25.0","Shop Odds @ OddsShopper"
"Sterling Shepard","NYG","Receiving Yards","Under","45.50","-115.00","55.70","40 %","-26.0","Shop Odds @ OddsShopper"
"Mecole Hardman","KC","Receiving Yards","Under","21.50","-110.00","30.55","39 %","-26.0","Shop Odds @ OddsShopper"
"Jamison Crowder","NYJ","Receiving Yards","Under","42.50","-115.00","54.35","39 %","-27.0","Shop Odds @ OddsShopper"
"Darius Slayton","NYG","Receiving Yards","Under","22.50","-110.00","34.08","38 %","-28.0","Shop Odds @ OddsShopper"
"Chase Claypool","PIT","Receiving Yards","Over","52.50","-115.00","47.34","38 %","-29.0","Shop Odds @ OddsShopper"
"Marvin Jones Jr.","JAX","Receiving Yards","Under","44.50","-115.00","53.27","38 %","-29.0","Shop Odds @ OddsShopper"
"Ezekiel Elliott","DAL","Receiving Yards","Over","20.50","-110.00","19.00","37 %","-29.0","Shop Odds @ OddsShopper"
"Devin Singletary","BUF","Receiving Yards","Over","18.50","-110.00","16.45","37 %","-29.0","Shop Odds @ OddsShopper"
"DeVante Parker","MIA","Receiving Yards","Under","59.50","-114.00","70.71","37 %","-31.0","Shop Odds @ OddsShopper"
"Albert Wilson","MIA","Receiving Yards","Under","29.50","-110.00","39.98","36 %","-31.0","Shop Odds @ OddsShopper"
"Brandon Aiyuk","SF","Receiving Yards","Over","52.50","-114.00","44.87","36 %","-33.0","Shop Odds @ OddsShopper"
"Michael Carter","NYJ","Receiving Yards","Under","19.50","-110.00","32.40","34 %","-35.0","Shop Odds @ OddsShopper"
"Tommy Tremble","CAR","Receiving Yards","Over","14.50","-110.00","13.44","34 %","-36.0","Shop Odds @ OddsShopper"
"Mark Andrews","BAL","Receiving Yards","Over","50.50","-125.00","46.56","36 %","-36.0","Shop Odds @ OddsShopper"
"Brock Wright","DET","Receiving Yards","Over","20.50","105.00","16.98","29 %","-41.0","Shop Odds @ OddsShopper"
"Courtland Sutton","DEN","Receiving Yards","Under","30.50","-110.00","47.31","31 %","-41.0","Shop Odds @ OddsShopper"
"Myles Gaskin","MIA","Receiving Yards","Under","16.50","-112.00","27.62","30 %","-43.0","Shop Odds @ OddsShopper"
"Adam Trautman","NO","Receiving Yards","Over","27.50","-115.00","21.37","30 %","-45.0","Shop Odds @ OddsShopper"
"DJ Moore","CAR","Receiving Yards","Under","50.50","-115.00","75.75","27 %","-50.0","Shop Odds @ OddsShopper"
"Deebo Samuel","SF","Receiving Yards","Under","42.50","-110.00","68.41","24 %","-53.0","Shop Odds @ OddsShopper"
